#notetype:Spanish_Travel_Phrases
#deck:Spanish::Travel
#separator:Comma
#html:true
#tags column:7
#columns:PhraseID,Spanish,Pronunciation,English,Category,Notes,Tags
001_0001,Hola,OH-lah,Hello,Greetings & Basics,,
001_0002,Buenos días,BWEH-nos DEE-ahs,Good morning,Greetings & Basics,,
001_0003,Buenas tardes,BWEH-nas TAR-des,Good afternoon,Greetings & Basics,,
001_0004,Buenas noches,BWEH-nas NOH-ches,Good evening / Good night,Greetings & Basics,,
001_0005,Adiós,ah-dee-OHS,Goodbye,Greetings & Basics,,
001_0006,Hasta luego,AHS-tah loo-EH-goh,See you later,Greetings & Basics,,
001_0007,Hasta mañana,AHS-tah mah-NYAH-nah,See you tomorrow,Greetings & Basics,,
001_0008,Sí,see,Yes,Greetings & Basics,,
001_0009,No,noh,No,Greetings & Basics,,
001_0010,Por favor,por fah-VOR,Please,Greetings & Basics,,
001_0011,Gracias,GRAH-syahs,Thank you,Politeness & Introductions,,
001_0012,Muchas gracias,MOO-chahs GRAH-syahs,Thank you very much,Politeness & Introductions,,
001_0013,De nada,deh NAH-dah,You're welcome,Politeness & Introductions,,
001_0014,Perdón,pehr-DOHN,Pardon / Sorry,Politeness & Introductions,,
001_0015,Disculpe,dees-KOOL-peh,Excuse me,Politeness & Introductions,,
001_0016,Lo siento,loh see-EN-toh,I'm sorry,Politeness & Introductions,,
001_0017,Me llamo…,meh YAH-moh,My name is…,Politeness & Introductions,,
001_0018,¿Cómo se llama usted?,KOH-moh seh YAH-mah oos-TED,What's your name? (formal),Politeness & Introductions,,
001_0019,Mucho gusto,MOO-choh GOOS-toh,Nice to meet you,Politeness & Introductions,,
001_0020,¿Cómo está usted?,KOH-moh es-TAH oos-TED,How are you? (formal),Politeness & Introductions,,
001_0021,"Muy bien, gracias","moo-ee bee-EN, GRAH-syahs","Very well, thank you",Politeness & Introductions,,
001_0022,Soy de…,soy deh,I'm from…,Politeness & Introductions,,
001_0023,¿De dónde es usted?,deh DOHN-deh es oos-TED,Where are you from?,Politeness & Introductions,,
001_0024,No entiendo,noh en-tee-EN-doh,I don't understand,Politeness & Introductions,,
001_0025,¿Puede repetir eso?,PWEH-deh reh-peh-TEER EH-soh,Can you repeat that?,Politeness & Introductions,,
001_0026,"Más despacio, por favor",mahs des-PAH-syoh por fah-VOR,"More slowly, please",Politeness & Introductions,,
001_0027,No hablo español,noh AH-bloh es-pah-NYOL,I don't speak Spanish,Politeness & Introductions,,
001_0028,¿Habla inglés?,AH-blah een-GLES,Do you speak English?,Politeness & Introductions,,
001_0029,¿Me lo escribe?,meh loh es-KREE-beh,Can you write it down?,Politeness & Introductions,,
001_0030,Entiendo,en-tee-EN-doh,I understand,Politeness & Introductions,,
001_0031,¿Dónde está…?,DOHN-deh es-TAH,Where is…?,Directions & Transportation,,
001_0032,¿Cómo llego a…?,KOH-moh YEH-goh ah,How do I get to…?,Directions & Transportation,,
