#notetype:Japanese_Mined_Vocab
#deck:Japanese::Todoku::お母さんヘンシン
#separator:Comma
#html:true
#tags column:8
#columns:VocabID,TargetWord,Reading,Meaning,Sentence,SentenceTranslation,Notes,Tags
002_0001,夫,おっと,husband,マリアさんは、<b>夫</b>と小学生のレオ君と幼稚園のララさんの四人家族です。,"Maria-san is a family of four with her husband, Leo-kun in elementary school, and Lala-san in kindergarten.",,
002_0002,幼稚園,ようちえん,kindergarten,マリアさんは、夫と小学生のレオ君と<b>幼稚園</b>のララさんの四人家族です。,"Maria-san is a family of four with her husband, Leo-kun in elementary school, and Lala-san in kindergarten.",,
002_0003,悪い,わるい,bad; at fault,えっ、お母さんが<b>悪い</b>の。,"Huh, is Mom the one at fault?",,
002_0004,気にする,きにする,to mind; to worry about,時間を<b>気にしない</b>家族でした,They were a family that did not worry about time.,,
002_0005,置き場,おきば,place for putting something; drop-off area,マリアさんは、九時にゴミ<b>置き場</b>に行きました,Maria-san went to the garbage drop-off area at nine o'clock.,,
002_0006,すると,すると,then; after that,<b>すると</b>、隣の奥さんが「あら、マリアさん。ゴミは八時半までよ」と言いました。,"Then the woman next door said, ""Oh, Maria-san. The garbage is only until 8:30.""",,
002_0007,奥さん,おくさん,wife; married woman; madam,すると、隣の<b>奥さん</b>が「あら、マリアさん。ゴミは八時半までよ」と言いました。,"Then the woman next door said, ""Oh, Maria-san. The garbage is only until 8:30.""","In this sentence, 奥さん refers to the neighboring married woman, not the speaker's own wife.",
002_0008,パートで働く,パートではたらく,to work part-time,マリアさんは、<b>パートで働いています</b>。,Maria-san works part-time.,,
002_0009,着替える,きがえる,to change clothes,「マリアさん、<b>着替える</b>時間はあるの。」と言いました。,"""Maria-san, do you have time to change clothes?"" she said.",,
002_0010,迎える,むかえる,to go pick up; to fetch; to meet,今日は子供を<b>迎え</b>に行ったり、買い物をしたり、色々やっていたら遅くなりました。,"Today I went to pick up the children, did some shopping, and did various other things, so I ended up being late.","In this pattern, 迎えに行く means to go pick someone up.",
002_0011,バーゲンセール,バーゲンセール,bargain sale,次の日曜日、マリアさんはデパートの<b>バーゲンセール</b>に行きました。,"The following Sunday, Maria-san went to the department store's bargain sale.",,
002_0012,時間に遅れる,じかんにおくれる,to be late; to be late for the proper time,<b>時間に遅れる</b>といいことがないんだ,"When you're late, nothing good comes of it.","This phrase means being late for the expected time or schedule, not physically arriving behind something.",
002_0013,気が付く,きがつく,to realize; to notice,マリアさんは、時間を守ることが大切だと<b>気がつきました</b>。,Maria-san realized that keeping to time is important.,,
002_0014,慌てる,あわてる,to panic; to get flustered,レオ君は、<b>慌てないで</b>学校に出かけました,Leo-kun left for school without panicking.,,
002_0015,出かける,でかける,to go out; to leave for,レオ君は、慌てないで学校に<b>出かけました</b>,Leo-kun left for school without panicking.,,
002_0016,褒める,ほめる,to praise,「お母さん、今日ね、『朝早くきたね。』って先生に<b>褒められた</b>よ」,"""Mom, today, the teacher praised me, saying, 'You came early this morning.'""","This sentence uses the passive form 褒められた, meaning the speaker was praised by the teacher.",
002_0017,このごろ,このごろ,these days; recently,マリアさんは、<b>このごろ</b>九時五十分に会社へ着きます。,"These days, Maria-san arrives at the company at 9:50.",,
002_0018,ニコニコする,にこにこする,to smile; to grin cheerfully,課長が<b>ニコニコして</b>言いました,The section chief said it with a cheerful smile.,,
